experiment,trial,AUROC,AUPRC,AP@50,dataset,model,train.batch_size,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize_args.weighted,entity_embedder.regularize_weight,relation_embedder.regularize_weight,entity_embedder.dropout,relation_embedder.dropout,job_type=1vsAll,job_type=KvsAll,job_type=negative_sampling,train.type=1vsAll,train.type=KvsAll,train.type=negative_sampling,train.optimizer=Adadelta,train.optimizer=Adam,train.optimizer=AdamW,train.optimizer=Adamax,train.optimizer=RMSprop,train.loss=bce,train.loss=kl,train.loss=se,lookup_embedder.initialize=normal_,lookup_embedder.initialize=uniform_,lookup_embedder.initialize=xavier_normal_,lookup_embedder.initialize=xavier_uniform_
20230929-111630-simple_selfloops,00012,0.9065457940367172,0.8822326318437516,0.8810450591418606,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0610170535269302,5,512,1,2.2365244648741966e-09,2.1512012897339754e-14,0.4445115244016051,0.4300941647961736,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
20230929-111630-simple_selfloops,00015,0.9474198349988524,0.93342158107659,0.945769984852992,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.4770286592479563,10,128,0,9.55601555894702e-07,2.5609779844438458e-17,0.2191947698593139,0.2322498676367104,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
20230929-111630-simple_selfloops,00023,0.9683074951171876,0.958686629257508,0.9750867540121388,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0065518109617847,9,512,0,1.0219143962242734e-08,1.0789345422915286e-13,0.1146344346925616,0.1234111371450126,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00024,0.9604702408250468,0.9480295332277276,0.9553351701282076,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.1363565990554926,3,64,1,9.584175626202284e-13,0.022858621200283,0.2896589967422187,0.2782197846099734,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
20230929-111630-simple_selfloops,00078,0.5379800273677469,0.5356235810553389,0.3354207086988404,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0005435749727839,10,128,0,3.5101012332673375e-12,0.0717569153419253,0.4955438855104148,0.0648923232220113,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
20230929-111630-simple_selfloops,00047,0.501568423998478,0.4930702025583658,0.192346248996418,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.3463534268353096,10,32,1,1.8241197249725424e-17,1.643761939395894e-15,0.4079831638373434,0.0281354770995676,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20230929-111630-simple_selfloops,00040,0.8910870470637234,0.8773235746011218,0.909888338376944,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.160608757349233,8,256,1,0.0019284303171702,8.175350620964827e-06,0.2114082253538072,0.148686449509114,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00049,0.4999820717845745,0.5030776295678583,0.2665747480707218,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0005151165312129,7,512,1,2.4983903705546588e-08,1.1410752339588246e-17,0.3386614471673965,0.4066786481998861,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
20230929-111630-simple_selfloops,00076,0.4987673484295106,0.5749177764748101,0.5868487244756766,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.3326785479780381,7,128,0,0.0974951065149493,6.264807425892452e-10,0.2503799879923463,0.4988287673331797,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
20230929-111630-simple_selfloops,00082,0.498671260667639,0.4610184232590588,0.0322577977053303,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.9260931971430189,7,64,0,5.162889359857186e-09,3.174416823631535e-17,0.3767533414065838,0.1146909077651798,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
20230929-111630-simple_selfloops,00085,0.473937506995106,0.4808112615149611,0.2031774862667414,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0004120177028425,8,512,0,1.1971779318942616e-07,2.292951250667754e-12,0.1277576726861298,0.1943279993720352,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
20230929-111630-simple_selfloops,00071,0.969035254979918,0.9596305026488532,0.9760745588901876,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0011655743854008,8,64,0,4.020166414190824e-05,2.2875030956752017e-05,0.0033982410095632,0.3254416608251631,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
20230929-111630-simple_selfloops,00025,0.500320505482933,0.5066472123131838,0.2825092927592599,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0764148937892009,8,32,0,2.266211069862213e-17,4.888919933251679e-17,0.1390952630899846,0.4403101322241127,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20230929-111630-simple_selfloops,00022,0.5,0.5,0.02,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.2234596180995418,8,32,0,1.4837100084761232e-18,1.4362173657990945e-18,0.273809777572751,0.4715628470294177,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
20230929-111630-simple_selfloops,00014,0.5003395201448619,0.5042959739106135,0.2669342937744289,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.0081565596058113,4,32,1,3.086078212103185e-19,2.0668508732975707e-16,0.3087244159542024,0.0047199595719575,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
20230929-111630-simple_selfloops,00013,0.7163145960138442,0.7085716034069448,0.7165628664200672,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,256,0.1720395248131721,10,128,0,0.0003170019910134,9.213612714355739e-10,0.0955682443454861,0.3500350662507117,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
20230929-111630-simple_selfloops,00057,0.8879049900046059,0.8879175324877144,0.9232017617705311,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0382346889336006,8,64,1,7.062947838390588e-07,4.8849173710620985e-14,0.4529884411022067,0.3007728443481028,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
20230929-111630-simple_selfloops,00068,0.5001523817917612,0.513964663062531,0.2908162936109488,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,512,0.0043939248744072,8,32,0,0.0006244011165253,0.0006293223427485,0.3959569651633501,0.3566947295330465,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
20230929-111630-simple_selfloops,00050,0.9435389495092976,0.8988084707923033,0.7850535972674436,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.0824718228203211,5,128,0,1.2964815432265613e-12,3.5539623598783925e-11,0.0070379604585468,0.1902256989851594,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
20230929-111630-simple_selfloops,00092,0.9666185926326544,0.956098017458372,0.969915635851819,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,simple,128,0.4474813808775801,8,64,1,2.0446920370442567e-10,6.484074956662125e-12,0.087720297742635,0.2695169127546251,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
